question,category,answer
Какие документы нужны для регистрации права использования ПО франшизы?,Правовая сторона,"Для программного обеспечения (если оно включено в франшизу) обычно оформляют лицензионное соглашение или приложение к договору концессии. Юридически ПО защищено авторским правом, но его передача часто упоминается в договоре. Специальной регистрации права на ПО не требуется, достаточно грамотно оформить использование по Договору."
Нужно ли получать лицензию на занятия образовательной деятельностью по франшизе?,Правовая сторона,"Если франшиза предоставляет образовательные услуги, требуется лицензия на образовательную деятельность (Рособрнадзор). Франчайзи должен получить такую лицензию или передать обучение подорганизации франчайзера, у которой она есть. Без неё официально проводить курсы и тренинги запрещено."
Как урегулировать вопрос если франчайзи нарушает эксклюзивность территории?,Правовая сторона,"Если франчайзи вышел за пределы своей зоны без разрешения, это нарушение договора. Франчайзер может объявить штраф и требовать пересмотра условий либо расторжения договора. Обычно договор содержит пункт о том, что при территории, франчайзи должен соблюдать чужие границы. Необходимо решать подобные вопросы в судебном или досудебном порядке."
Какие договоры с клиентами должен заключать франчайзи?,Правовая сторона,"Франчайзи заключает с конечными клиентами стандартные договоры на товары или услуги, сформированные по шаблону франчайзера. Также подписываются акты выполненных услуг. Эти документы оформляются на имя своей компании. Часто франчайзер предоставляет универсальный контракт, адаптированный к требованиям сети."
Что можно предъявлять франчайзеру через суд?,Правовая сторона,"Франчайзи может предъявить претензии франчайзеру в суде, если нарушены обязательства (например, франчайзер не предоставил оговоренные технологии или поддержку). Иск обычно подают в арбитражный суд по месту регистрации ответчика. Франчайзеру грозит возмещение убытков и неустойка, если доказано нарушение договора."
Что нужно включить условия для защиты франчайзи в договоре?,Правовая сторона,"Полезно прописать в договоре: гарантии дохода или страховку потерь, четкий перечень обязанностей франчайзера, условия досрочного расторжения в случае неисполнения поддерживающих функций. Также можно предусмотреть штрафы за нарушение прав франчайзи. Все это повысит защиту вашей инвестиции."
Нужно ли регистрироваться в реестре субъектов малого бизнеса?,Правовая сторона,"Для работы по франшизе регистрация в реестре субъектов МСП не требуется. Франчайзи регистрирует компанию как обычно (ИП или ООО). Однако статус МСП важен для получения мер поддержки (субсидий, льгот). Поэтому после регистрации бизнеса стоит подать сведения в реестр МСП, чтобы получить налоговые и субсидные привилегии."
Какие документы подтверждают право пользования объектами ИС?,Правовая сторона,"Документы: свидетельство Роспатента на товарный знак (или выписка из реестра), авторские свидетельства на технологии, лицензии на ПО (если есть). Франчайзи должен иметь эти документы в экземпляре договора или к нему во вложении. Это подтверждает законность использования интеллектуальной собственности."
Можно ли включить обязательство франчайзера консультировать франчайзи?,Правовая сторона,"Да, в договоре можно предусмотреть обязательство франчайзера периодически оказывать консультации или проведение семинаров. Такой пункт закрепляет регулярную поддержку. Например, можно оговорить обязательное посещение франчайзером минимум одной встречи или обучения в год для франчайзи."
Как урегулированы права на обновление технологических карт?,Правовая сторона,"Обычно технология описывается в внутренних регламентах и технологических картах, которые являются частью интеллектуальной собственности франчайзера. Права на обновление остаются за франчайзером: он самостоятельно меняет документацию и предоставляет актуальные версии франчайзи в рамках договора. Франчайзи обязан использовать только актуальные материалы."
Какие дополнительные соглашения оформляются после запуска франшизы?,Правовая сторона,"После запуска могут понадобиться дополнительные соглашения: например, о продлении договора, о внесении изменений (увеличение роялти, расширение ассортимента), аренда торговых площадей или поставка допоборудования. Также оформляют протоколы об изменении размеров паушального взноса или пересмотре условий по инициативе сторон."
Кто может пересмотреть условия договора франчайзи по своей инициативе?,Правовая сторона,"Франчайзи не может в одностороннем порядке менять условия договора — только по соглашению сторон. Возможны переговоры о снижении паушального взноса, изменении срока или роялти, если показали экономические сложности. Любые изменения оформляют как дополнительное соглашение, которое подписывается обеими сторонами."
Какие нотариальное соглашение при изменении лицензионного пакета?,Правовая сторона,"Нотариального оформления для изменения лицензионного пакета не требуется. Достаточно заключить письменное дополнительное соглашение к договору франшизы, где прописаны новые условия (например, добавление новых прав или изменение состава обучающих материалов). Нотариус не обязателен для коммерческих концессий."
Какие особенности договора франшизы в сфере -сервисов?,Правовая сторона,"Особенности: прописываются права на использование ПО, авторские права на разработку и поддержку. Скорость внедрения и обновления программного обеспечения важна, поэтому четко указывают графики поставки версий. Может быть указано требование о технической поддержке со стороны франчайзера. Часто нет большого паушального, но высокие роялти."
Какие риски при заключении договора с фирмами-однодневками?,Правовая сторона,"Фирма-однодневка может быстро исчезнуть, не выплатив доходы и не исполнив обязательства. Риски: нет возможности взыскать убытки через суд, не будет поддержки после подписания. Чтобы не попасть в такую ситуацию, нужно проверять компанию: учредителей и уставной капитал. Надежный франчайзер имеет стабильную юридическую историю."
Можно ли аннулировать договор франшизы по инициативе франчайзи?,Правовая сторона,"Франчайзи может расторгнуть договор, если это предусмотрено соглашением (например, с уведомлением за несколько месяцев). Без согласия франчайзера инициативный выход часто предполагает штрафы или потерю паушального. Тем не менее, если франчайзер не исполняет обязательства, франчайзи имеет право судом признать договор расторгнутым и вернуть вложения."
Какие санкции Роспотребнадзора могут быть для франчайзи?,Правовая сторона,"При нарушениях санитарных норм и требований к товарам Роспотребнадзор может приостановить торговлю, конфисковать товар и выписать штрафы. Франчайзи обязан соблюдать гигиенические, экологические и другие регулятивные стандарты, особенно при пищевых или медицинских услугах. Документальное подтверждение соответствия (сертификаты и допуски) обязательно."
Как добиться признания договора франшизы недействительным?,Правовая сторона,"Договор признается недействительным, если нарушены требования закона: например, передача незарегистрированного знака. Франчайзи может обратиться в суд, доказывая наличие пороков сделки (мошенничество, распоряжение чужими правами). Решение суда аннулирует договор, и вложения считаются подлежащими возврату в порядке суброгации."
документы нужны франчайзи для получения субсидии?,Правовая сторона,"Обычно нужны: бизнес-план, копия договора франчайзинга, квитанции об оплате паушала и роялти, выписка из Роспатента о товарном знаке и финансовые отчеты компании. Субсидии выдаются государственными организациями и банки требуют полную документацию, подтверждающую законность расходов."
оформляются права на коммерческую тайну в договоре?,Правовая сторона,"Договором может предусматриваться обязанность хранить коммерческие секреты (обычно прописывается пункт NDA). Права на данные методы работы остаются у франчайзера, а франчайзи обязуется не разглашать конфиденциальную информацию. Это необходимо для защиты уникальных технологий от конкурентов."
нужно регистрировать дополнительное соглашение об изменении условий?,Правовая сторона,"Дополнительное соглашение просто подписывается сторонами; оно не требует отдельной госрегистрации. После того как подписано, его приобщают к основному договору франшизы. Важно, чтобы новые условия не противоречили законодательству и основному договору."
Как оформить выход франчайзи из бизнеса по соглашению?,Правовая сторона,"Оформляется акт передачи прав и обязательств (или цессия), где сторонами фиксируется прекращение франчайзи деятельности. Можно заключить мировое соглашение или договор уступки долга/прав. Часто франшиза предусматривает выкуп паушала частично. В любом случае необходимо разорвать договор по обоюдному согласию письменно."
Можно ли лицензировать недвижимость как часть франшизы?,Правовая сторона,"Недвижимость не лицензируется, но если она является частью франшизы (например, магазин с ремонтом по стандартам), то договор аренды оформляют отдельно. В договоре может быть упоминание об условиях аренды помещения у франчайзера. Если недвижимость передается во временное владение, тогда возможна регистрация переуступки прав аренды."
Какие разрешения нужны для деятельности в сфере медицины по франшизе?,Правовая сторона,"В медицине нужна лицензия Минздрава на ведение медицинской деятельности. Франчайзи, оказывающий медицинские услуги, обязан получить эту лицензию на свой адрес. Дополнительно нужно пройти аккредитацию медицинского персонала. Без них работа считается незаконной."
Могут ли франшизы считаются публичными договором?,Правовая сторона,Договор франшизы не является публичным договором (как аренда жилья). Условия устанавливаются индивидуально и не обязаны предоставлять услуги неопределенному кругу лиц. Это частное соглашение между сторонами с конкретными обязательствами. Публичность в франчайзинге не применяется.
Какой налоговый контроль у компаний-франчайзи?,Правовая сторона,"Франчайзи проверяется по стандартным налоговым правилам: НДС, прибыль, страховые взносы и т.д. Особенных требований нет, но контролируют соблюдение правил договора (потому часто запрашивают отчеты франчайзера). При несоблюдении условий договора налоговики смотрят на обоснованность расходов, в т.ч. уплата роялти и ведение документации."
Как завещать права франшизе наследникам?,Правовая сторона,"Права по договору франшизы можно передать по наследству как часть бизнеса, но для этого нужно согласие франчайзера. Если франчайзи умирает или уходит, наследники должны обратиться к франчайзеру за переоформлением договора. Юридически наследство возможно, но они должны продолжать выполнять все условия."
Какие гарантии должен предоставить франчайзер по доходам?,Правовая сторона,"Гарантии дохода франчайзер может дать только условно. Иногда прописывают выплату компенсаций, если доходы не достигают определенного уровня (за счёт собственных средств или страхового фонда). В договоре также можно указать аннулирование части роялти в первый период. Однако закон не требует обязательных гарантий, это вопрос договоренности."
Какие бывают судебной практики по франчайзингу?,Правовая сторона,"Есть решения арбитражей по вопросам признания договоров недействительными (например, из-за отсутствия регистрации знака) и взыскания роялти. Судебная практика показывает, что суды следуют букве 54-й главы ГК РФ. Пример: отказали франчайзи в компенсации убытков за нерегистрированный знак. Зато взыскивают роялти, если договор корректен."
нотариальных услуг франшизе?,Правовая сторона,"Нотариус может пригодиться при сложных сделках (например, передаче доли франчайзи) или удостоверении подписи на дополнительных соглашениях, но не обязателен. Обычно франшизные договора составляют и подписывают без нотариуса. Если возникнут споры, нотариальная фиксация передачи прав может упростить доказательство факта."
риски франчайзеров с зарубежными партнерами?,Правовая сторона,"При международных сделках риски: разность законодательства, сложности валютных переводов и отсутствие оперативного контроля. Франчайзеры учитывают это, оформляя договора по международным нормам (инкотермс). Для российских франчайзи важно убедиться, что иностранный партнер соблюдает российские требования по ИС и контрактам."
регистрировать использование знака обслуживания?,Правовая сторона,"Знак обслуживания (лого компании) также подлежит регистрации, как и обычный товарный знак. Если франчайзер хочет передать по договору и его использование, он должен зарегистрировать его в Роспатенте. Без регистрации таких знаков договор не будет считаться законным. У франчайзи должно быть документальное подтверждение права."
ответственность за подделку товарного знака?,Правовая сторона,"Ответственность за подделку знака — уголовная и административная. Подделка влечёт штрафы и конфискацию контрафактной продукции. Франчайзи, использующий чужой знак без разрешения, может быть привлечён к ответственности (штраф, арест). Защиту прав осуществляет владелец знака через суд или таможню."
привлекать третьих лиц без согласия?,Правовая сторона,"Франчайзи не может передавать свои права и обязанности третьим лицам без согласия франчайзера (п. договора). Если необходимо привлечь субподрядчиков или филиалы, обычно нужно уведомлять партнёра. Нарушение этого условия — основание для претензий со стороны франчайзера."
ограничения антимонопольное законодательство?,Правовая сторона,"Антимонопольные ограничения в франчайзинге касаются ценообразования: франчайзер и франчайзи не должны устанавливать минимальные цены незаконно. Маркетинговые соглашения допускаются, но не должны приводить к нарушению конкуренции. Классический франчайзинг по закону о конкуренции обычно не запрещён, если условия согласованы."
документы оформлять при изменении условий договора?,Правовая сторона,"Для изменений к договору оформляют дополнительное соглашение (адендум), подписанное обеими сторонами, где перечислены новые условия (территория, роялти и т.д.). К договору также можно прилагать акты, протоколы о конкретных изменениях (например, увеличение паушального). Все эти документы скрепляют новую редакцию соглашения."
легализовать иностранные договора в России?,Правовая сторона,"Иностранные договора франшизы приводят к оформлению на русском языке и удостоверению апостилем или переводом. Для признания прав франчайзера в РФ нужно зарегистрировать товарный знак по российским законам. Иностранный договор не требует регистрации, но его исполнение регулируется нормами РФ, если бизнес работает здесь."
права на интеллектуальную собственность остаются у франчайзера?,Правовая сторона,"У франчайзера остаются все исключительные права (на товарный знак, технологию, программное обеспечение). Франчайзи получает только ограниченные права использования. Эти права защищены договором и регистрацией. Например, франчайзер продолжает владеть товарным знаком и получает роялти за его использование."
оформить дополнительные соглашения?,Правовая сторона,"Дополнительные соглашения оформляются как приложение к основному договору, например: изменение размера паушального взноса, продление срока контракта, изменение перечня услуг. Они подписываются обеими сторонами, получают новую юридическую силу. На практике это обычная процедура при развитии франшизы или корректировке работы сети."
риски при инвестициях в разных юрисдикциях?,Правовая сторона,"Риски: разные налоговые и правовые режимы, политическая нестабильность, и даже разная защита ИС. Если сеть выходит на зарубежные рынки, важно учитывать валютные риски и местное законодательство по франчайзингу (в РФ франшиза опирается на ГК). Чтобы снизить риски, применяют локальные договоры или открытие филиалов."
тонкости договора концессии важны для ИП?,Правовая сторона,"Для ИП важно проверить соответствие франшизы его ОКВЭДам и СНО. В договоре обращайте внимание на ответственность ИП (как физлица) и возможные налоговые последствия. ИП рискует своим личным имуществом, поэтому нужно внимательно согласовывать ограничение своих обязательств (например, нести ответственность только в рамках бизнеса, если возможно)."
Как оформить получение паушального взноса по франшизе?,Бухгалтерия,"Паушальный взнос отражается у франчайзера как выручка (дебет 62 «Расчеты с покупателями», кредит 90 «Выручка») и облагается НДС. У франчайзи паушал учитывается как нематериальный актив (счет 04) и затем амортизируется на протяжении срока действия договора."
Какие бухгалтерские проводки необходимо сделать при продаже франшизы?,Бухгалтерия,"Продажу франшизы (получение паушального взноса) у франчайзера отражают проводкой: дебет 51 (или 62, если по безналу/налу) и кредит 90 «Выручка по коммерческой концессии». У франчайзи при оплате паушала делают проводку: дебет 04 «Нематериальные активы» и кредит 51 «Расчётный счёт»."
Нужно ли начислять НДС на паушальный взнос и роялти?,Бухгалтерия,"Да, паушальный взнос и роялти облагаются НДС по стандартной ставке (20%). Франчайзер должен выставить франчайзи счёт-фактуру и уплатить НДС в бюджет при получении платежей. Если франчайзи работает на УСН без НДС, возможно оформление самофактуры и учёт НДС по упрощённым правилам."
"Как учитывать расходы на рекламу, оплаченные в рамках франшизы?",Бухгалтерия,"Расходы на рекламу, оплаченные франчайзи (например, согласованные маркетинговые взносы), признаются рекламными расходами. Они отражаются на счете 44 «Расходы на реализацию» или счете 26 «Общехозяйственные расходы» и уменьшают налогооблагаемую прибыль при ОСНО. При УСН такие расходы учитываются при «доходы минус расходы». "
Какие основные счета используются для учета франчайзинга?,Бухгалтерия,"Для франчайзинга используют стандартные счета: у франчайзера — 62 «Расчеты с покупателями» (поступления паушала), 90 «Продажи» (выручка), 68 «Расчёты по налогам», 91 «Прочие доходы»; у франчайзи — 04 «НМА» (паушал), 60/76 «Расчеты с поставщиками и подрядчиками» (расходы), 26/44 (коммерческие и управленческие расходы) и 91 «Прочие расходы» (роялти)."
Какова роль договора франшизы при ведении бухгалтерского учета?,Бухгалтерия,"Договор франшизы служит основанием для всех бухгалтерских операций: именно по нему формируются счета-фактуры, акты оказанных услуг и составляются проводки (выручка, роялти и т.д.). Без договора нет права признавать доходы и расходы, поскольку все хозяйственные операции должны быть документально обоснованы."
Какие документы требуются бухгалтеру для учета франшизы?,Бухгалтерия,"Бухгалтеру нужны: копии договора коммерческой концессии, счета-фактуры на паушальный взнос и роялти, акты об оказанных услугах (маркетинговая поддержка, обучение) и первичные документы (платежные поручения, квитанции). Эти документы подтверждают финансовые потоки между франчайзером и франчайзи."
Как учитывать роялти в бухгалтерском учете?,Бухгалтерия,"Роялти у франчайзи относятся на расходы по статье «прочие операционные расходы» (дебет 26 или 44). У франчайзера роялти отражаются как выручка (дебет 62, кредит 90) при их фактическом получении. На роялти начисляется НДС, поэтому включается в базу и налоговые проводки оформляются (дебет 90.09, кредит 68)."
Как отразить покупку франшизы на счетах баланса?,Бухгалтерия,"Франшизу (паушальный взнос) у франчайзи отражают как приобретение нематериального актива (дебет 04 «НМА», кредит 51/60 — оплата). Затем её амортизируют постепенно. Если франчайзи признаёт франшизу как затраты, тогда проводят сразу дебет 26/91 и кредит 51. У франчайзера оборудование или права показывают в балансе как активы (04 или 08) и отражают выручку."
Как признать выручку от франчайзинговых платежей?,Бухгалтерия,"Франчайзер признает выручку при фактическом поступлении платежей (или в момент передачи услуг), в соответствии с ПБУ 9/99. Обычно это по факту получения паушального взноса и роялти. Фиксированные роялти включают в выручку в месяце начисления. У франчайзи выручка считается по доходам от перепродажи товаров/услуг."
Какие особенности учета у франчайзи при УСН и ОСНО?,Бухгалтерия,"На УСН (6% или 15%) бухгалтерский учет упрощен: нет НДС, а налоги платятся от дохода или дохода минус расход. При УСН «доходы» роялти не входят в базу, при «доходы-расходы» — входят. При ОСНО все доходы (включая роялти) облагаются НДС и налогом прибыли 20%. Франчайзи на ОСНО ведёт полный учет всех поступлений и затрат, а на УСН может не учитывать НДС."
Нужно ли вести раздельный учет операций франчайзи?,Бухгалтерия,"Четкого требования нет, но ведение раздельного учета может помочь отслеживать прибыльность разных направлений франшизы (например, по каждой юридической единице). Для этого используют субсчета или аналитический учет. Однако для налогового учета отчетность общая, а раздельный учет носит больше управленческий характер."
Какие налоги уплачивает франчайзер с доходов по франшизе?,Бухгалтерия,Франчайзер на ОСНО платит НДС (20%) с паушальных взносов и роялти и налог на прибыль (20%) с чистой прибыли. На УСН возможна ставка 6% с дохода или 15% с прибыли. Пенсионный и социальный взносы платятся за штатных сотрудников обычным порядком.
Какие налоги уплачивает франчайзи с прибыли по франшизе?,Бухгалтерия,"Франчайзи платит налог на прибыль 20% при ОСНО и НДС 20% с выручки. При УСН платит единый налог: 6% от доходов или 15% от разницы доходов и расходов. Также уплачиваются страховые взносы (~30%) за сотрудников. Налоги зависят от выбранной системы (УСН, ОСНО), и от характера операций (услуги или товары)."
Как учесть инвестиции в франшизу в бухгалтерии?,Бухгалтерия,"Инвестиции в франшизу у франчайзи учитываются как долгосрочные вложения (НМА или основные средства). Первоначальные затраты (паушал, оборудование) отражают на счетах 04 и 01 соответственно, и списывают их в расходы через амортизацию. Пока бизнес не запущен, некоторые расходы могут учесть как «расходы будущих периодов» (счет 97) и распределить после старта."
Как списать безнадежную дебиторскую задолженность франчайзи?,Бухгалтерия,"Если франчайзи не может заплатить (прекратил работу), у франчайзера создают резерв по сомнительным долгам (счет 63). Затем списывают дебиторку как безнадежную на счет 91.2 «Прочие расходы». Также нужно уведомить налоговую, иначе расходы могут не принять к вычету. Оформляется акт списания дебиторки с указанными причинами."
Какие бонусы и скидки нужно учитывать в бухгалтерии?,Бухгалтерия,"Если франчайзи получает скидки от франчайзера (например, на закупку оборудования), разницу отражают как прочий доход (дебет 51, кредит 91.2) или снижают себестоимость. При учёте акций: франчайзи документирует скидки в бухгалтерии как уменьшение расхода, франчайзер — как прочий расход или снижение дохода. Всё должно быть отражено в учётной политике."
Как отразить изменения стоимости оборудования в бухгалтерии?,Бухгалтерия,"Если меняется стоимость оборудования (покупка/модернизация), указывают дополнительную стоимость: дебет 08 (вложения во внеоборотные) и после ввода в эксплуатацию переводят на 01. При инвентарной переоценке фиксируют разницу по 91 счету (прирост/убыль). Курсовые разницы по валютному оборудованию отражаются на счете 91 как прочие доходы/расходы."
amортизация и как её начислять на франшизу?,Бухгалтерия,"Если франшиза (паушал) учитывается как НМА, её амортизируют (списывают на расходы) по ставке, указанной в учётной политике (например, 10% годовых). Оборудование и ОС – по ПБУ 6/01, обычно линейно. Амортизация равномерно распределяет расходы на срок использования активов (чаще ровными долями)."
Как составить бухгалтерский баланс для компании-франчайзера?,Бухгалтерия,"В балансе отражают: в активе – нематериальные активы (право франшизы), основное средство, дебиторскую задолженность (паушалы и роялти), денежные средства. В пассиве – уставный капитал, обязательства (кредиторы, займы) и прибыль накопленную. Баланс составляется по состоянию на конец отчётного периода и показывает совокупные ресурсы компании."
Какие особенности учета аренды при открытии франшизы?,Бухгалтерия,"Арендные платежи у франчайзи относятся к расходам (дебет 26 или 44, кредит 60). При ОСНО НДС по аренде принимается к вычету в рамках выручки. На УСН «доходы-расходы» эти платежи снижают налогооблагаемую базу. У франчайзера арендные доходы учитываются как прочие доходы (91.01) и облагаются налогом на прибыль."
Нужно ли отражать франшизу как нематериальный актив?,Бухгалтерия,"Паушальный взнос у франчайзи можно учесть как нематериальный актив (счет 04), если предполагается долгосрочная работа по франшизе. Тогда он амортизируется. Это уменьшает налогооблагаемую прибыль на сумму амортизации. Если франшиза нет смысла хранить долго, некоторые компании могут сразу списать паушал в расходы (по УСН)."
Как учитывать обучение сотрудников франчайзи?,Бухгалтерия,"Расходы на обучение персонала франчайзи (семинары, курсы от франчайзера) можно отнести на расходы будущих периодов (счет 97) и затем списывать (например, ежемесячно или после фактического ввода услуг). Альтернатива — сразу списать на счет 44 или 26, если обучение расценивают как разовые затраты на маркетинг или содержание штата."
